prices,Address,Beds
"€300,000"," Corliss House, Frances Street, Kilrush, Clare",8 beds
"€205,000"," 23 Ath Lethan, Racecourse Road, Dundalk, Co. Louth",3 beds
"€695,000"," 1 Dargle Drive, Rathfarnham, Dublin 14",4 beds
"€345,000"," 17 Clonliffe Avenue,Drumcondra,Dublin 3,D03 F5Y9",3 beds
"€3,750,000"," 44 Fitzwilliam Square, Dublin 2, South City Centre",5 beds
"€167,500"," 40 Dun na Ri,Shannon,Co Clare,V14 TX04",2 beds
"€925,000"," 10 The Court, Donnybrook Castle, Donnybrook, Dublin 4",4 beds
"€220,000"," Love Lane, Charleville, Cork",4 beds
"€285,000"," Barnacarroll,Claremorris,Co Mayo,F12 Y5R5",4 beds
"€235,000"," Bauravilla, Skibbereen, West Cork",6 beds
"€110,000"," Coolacoosane (Caum),Macroom,Co. Cork.,P12A377",2 beds
"€695,000"," Kilcaiman, Oranmore, Galway",5 beds
"€270,000"," 307 Glanntan, Castletroy, Limerick",3 beds
"€485,000"," Gortybrigane,Birdhill,Co Tipperary,V94 WR0X",4 beds
"€239,000"," 31 O'Hanlon Park, Dundalk, Co. Louth",4 beds
"€485,000"," 33 Old Chapel Grove,Caragh,Naas,Co Kildare,W91 VK6H",4 beds
"€100,000"," 29 Rockhill Holiday Park, Kerrykeel, Co. Donegal",3 beds
"€140,000"," 38 Athenry Road, Tuam, Galway",3 beds
"€975,000"," 1 Mount Pleasant Villas, Upper Dargle Road, Bray, Wicklow",5 beds
"€8,900,000"," Summerhill, Marino Avenue West, Killiney, Co. Dublin",7 beds
"€299,000"," 48 Gort Na Ri,Ennis,Co. Clare,V95 E3YX",5 beds
"€280,000"," Tullyard, Emyvale, Monaghan",3 beds
"€240,000"," 1 The Villas, Owenabue Heights, Ballea Road, Carrigaline, Cork",3 beds
"€395,000"," 20 Arbour Place, Stoneybatter, Dublin 7",2 beds
"€595,000"," 3 Bluebell Woods, Oranmore, Co. Galway",4 beds
"€525,000"," 2 Park Heights, Grange Rath, Drogheda, Meath",4 beds
"€249,000"," 15 Moycullen Road, Ballyfermot,   Dublin 10",3 beds
"€254,950"," 112 Finglas Road, Finglas, Dublin 11",3 beds
"€690,000"," Woodfield, Glasheen Road, Glasheen, Cork City",5 beds
"€2,850,000"," Kalafat House, 27 Sorrento Road, Dalkey, County Dublin",4 beds
"€550,000"," 69A Glasnevin Park,Glasnevin,Dublin 11,D11 DHP5",3 beds
"€360,000"," Ned Doyle's Lane,Creagh,Gorey,Co. Wexford,Y25P584",4 beds
"€295,000"," Brook Lodge, Corballis, Rathdrum, Wicklow",3 beds
"€295,000"," 7 Millers Square, Lusk Village, Lusk, County Dublin",3 beds
"€390,000"," 24 Saint Brigids Road, Clondalkin, Dublin 22",3 beds
"€295,000"," 70 St. Samsons Square, Balgriffin, Dublin",3 beds
"€425,000"," Stoneyford,17 Wilton Avenue,Bishopstown,Cork,T12AE4A",5 beds
"€450,000"," 1 Ros Nua,Poulavone,Ballincollig,Co Cork,P31FF86",4 beds
"€1,700,000"," 5 Belmont Gardens, Donnybrook, Dublin 4",4 beds
"€595,000"," 39 IVERAGH ROAD, Gaeltacht Park, Whitehall, Dublin 9",3 beds
"€249,000"," Old Kerryway Cottage, Tahilla, Sneem, Kerry",2 beds
"€325,000"," 23 Hollybank Crescent, Clongowen,  Waterford Road, Kilkenny, Kilkenny",4 beds
"€190,000"," 19 Hunters Green, Gorey, Wexford",2 beds
"€160,000"," 6 Mount Leinster Park, Tullow Road, Carlow Town, Carlow",3 beds
"€870,000"," Annamoe, Station Road, Portmarnock,   County Dublin",4 beds
"€1,595,000"," 35 Percy Place, Ballsbridge, Dublin 4",4 beds
"€395,000"," 9 St Brigids Road, North Strand, Dublin 3",3 beds
"€975,000"," Prospect,Sallins,Co Kildare,W91 K0E9",5 beds
"€195,000"," 53 Dominick Street, City Centre Nth, Cork City",3 beds
"€300,000"," Waterview, Turloughmore, Galway",5 beds
"€159,000"," 46 John St, Sligo City, Sligo",4 beds
"€330,000"," Shandrum, Kilgarvan, Kerry",4 beds
"€485,000"," 68 Oliver Plunkett Road, Dun Laoghaire, Co Dublin",3 beds
"€315,000"," 48 Raheen Road, Tallaght, Dublin 24",3 beds
"€385,000"," 8 Wilson Place, South City Centre, Dublin 2, D02 YK33",76.52m 2
"€3,750,000"," Tallon House,4 Golf Lane,Foxrock,Dublin 18,D18 T2N6",3 beds
"€490,000"," The Grange,Aughrim,Co. Wicklow",4 beds
"€220,000"," Woodland, Ballyporeen, Tipperary",3 beds
"€320,000"," 56 Old Bawn Road, Old Bawn, Dublin 24, Oldbawn",4 beds
"€450,000"," 3 Castlechurch Park, Newcastle, Co. Dublin",4 beds
"€650,000"," 47 Crumlin Road,, Crumlin, Dublin 12",4 beds
"€260,000"," 37 St Marys Crescent, Westport, Mayo",3 beds
"€230,000"," 3 Moylaragh Rise,Balbriggan,Co. Dublin,K32 A522",2 beds
"€297,000"," 56 The Drive, Harbour Heights, Passage West, Cork",3 beds
"€225,000"," 18 The Spires,Deans Street, Kilkenny, Kilkenny",2 beds
"€325,000"," 3 Charlestown Drive, Finglas, Dublin 11",3 beds
"€360,000"," 3 Fernvale Drive, Crumlin, Dublin 12",3 beds
"€249,950"," 59 Madeira Wood, The Moyne, Enniscorthy, Co. Wexford",4 beds
"€295,000"," 88 Rathcurragh, Green Road, Newbridge, Kildare",3 beds
"€315,000"," 26 Westbrook Close , Balbriggan, County Dublin",3 beds
"€475,000"," 2 Leinster Crescent, Old Dublin Road, Co. Carlow",4 beds
"€450,000"," Dunkitt, Kilmacow, Waterford",4 beds
"€495,000"," 496 Collins Avenue,Whitehall,Dublin 9,D09 PH27",4 beds
"€475,000"," 71 Kinvara Road, Navan Road, Dublin 7",3 beds
"€525,000"," 'Glena Ville', Glena Terrace, Spawell Road, Wexford Town, Wexford",6 beds
"€375,000"," 7 Rinawade View, Leixlip, Kildare",3 beds
"€259,000"," Moneylagan, Longford, Longford",4 beds
"€1,150,000"," Kincora 58 North Avenue, Mount Merrion, Co. Dublin",4 beds
"€425,000"," Balcunnin, Skerries, Co. Dublin",4 beds
"€599,000"," Formally Rosmoney Spa, Rosmoney, Westport, Co. Mayo",6 beds
"€240,000"," No. 7 Pine Grove, Oak Ridge, Ferrybank, Waterford",3 beds
"€750,000"," 28 Windsor Terrace, Portobello, Dublin 8",3 beds
"€275,000"," 36 St Johns Crescent, Clondalkin, Dublin 22",3 beds
"€195,000"," 82 Preston Brook, Rathangan, Co. Kildare",2 beds
